registry_id,reference_location,sergio_label,reference_formula,reference_value,canonical_operation,canonical_semantics,reference_compatibility,decision_status,current_or_next_tool_mapping,notes
top_battery_power_rms,N2,Battery Power RMS,SQRT(SUM(N5:N17422)/17417),55.132631118828165,sqrt(mean(M^2)),ordinary sample RMS,legacy divisor 17417 for 17418 samples,CANONICAL_WITH_REFERENCE_COMPATIBILITY,report_battery_power_rms,Do not copy legacy denominator into generic RMS engine.
top_battery_heatflow_rms,P2,Battery Heatflow RMS,SQRT(SUM(P5:P17422)/17417),4.554083085618828,sqrt(mean(O^2)),ordinary sample RMS,legacy divisor 17417 for 17418 samples,CANONICAL_WITH_REFERENCE_COMPATIBILITY,report_battery_heatflow_rms,Selected as second top RMS in v1.2.1.
mission_time_hours,BT4,Time [hrs],B17423/60,4.838055555555556,last timestamp minutes / 60,elapsed_time,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_time_last + hours conversion,Full mission elapsed time from Excel timeline.
mission_distance_km,BU4,Distance [Km],G17423,114.0011,last cumulative distance,distance,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_distance_last,Excel is numerical authority; nominal PPT route rounding does not override.
max_speed_kph,BV4,Max Speed [kph],E17423,62.6233,max(speed),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_speed_max,Full mission max.
max_longitudinal_acceleration_mps2,BW4,Max Acceleration [m/sec²],C17423,2.20455,max(longitudinal acceleration),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Full mission max.
max_engine_speed_rpm,BX4,Max Engine Speed [RPM],AG17423,1999.98,max(engine speed),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_engine_speed_max,Full mission max.
max_engine_torque_nm,BY4,Max Engine Torque Required [Nm],AH17423,567.246,max(engine torque),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Full mission max.
max_engine_power_kw,BZ4,Max Engine Power Required [kW],AI17423,82.66317798257373,max(engine speed*torque/9548.8),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_engine_power_max,Use deterministic derived channel.
engine_energy_delivered_kwh,CA4,Engine Energy Delivered [kWh],AJ17423,219.3011310532373,sum(per-sample engine energy),sum,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_EXACT_WITH_INTEGRATION_MODE,Phase 13B/13C KPI layer,Must declare per-sample rectangle integration for exact Sergio compatibility.
generator_cont_power_kw,CB4,Generator Cont Power [kW],,80,configured continuous generator power,scenario_parameter,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_SCENARIO_CONSTANT,Phase 13B/13C KPI layer,Hardcoded 80 kW in Sergio KPI block; not measured max.
fuel_consumption_kg,CC4,Fuel Consumption [Kg],AD17423,39.8380600000014,last cumulative fuel mass,last,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_fuel_last,Full mission cumulative fuel.
fuel_consumption_l,CD4,Fuel Consumption [lts],CC4/0.84,47.42626190476357,fuel_kg / 0.84 kg/L,derived,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_EXACT,Phase 13B/13C KPI layer,Density is explicit reference assumption.
fuel_energy_consumed_kwh,CE4,Fuel Energy Consumed [kWh],CB4*12,960,generator_cont_power_kw * 12,reference_formula,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_ONLY_UNRESOLVED,Phase 13B/13C KPI layer,Do not treat 80*12 as physics until factor 12 is explained.
engine_efficiency_pct,CF4,Engine Efficiency [%],CA4/CE4,0.22843867818045552,engine_energy_delivered / fuel_energy_consumed,reference_formula,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_ONLY_UNRESOLVED,Phase 13B/13C KPI layer,Depends on unresolved CE definition.
recuperated_energy_kwh,CG4,Recuperated Energy [kWh],S17423,1.760681,last cumulative recuperated energy,last,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Full mission cumulative channel.
released_energy_kwh,CH4,Released Energy [kWh],T17423,161.06459999999998,last cumulative released energy,last,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Full mission cumulative channel.
used_edu_energy_kwh,CI4,Used Energy (EDU+I) [kwh],CH4-CG4,159.30391899999998,released - recuperated,derived,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Net EDU energy.
max_auxiliary_power_kw,CJ4,Max Auxiliaries Power Demand [kW],BK17423,28.7527,max(total auxiliary power),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_auxiliary_power_max,Full mission max.
auxiliary_energy_kwh,CK4,Auxiliaries Energy Consumption [kWh],BL17423,109.35260816664805,sum(per-sample auxiliary energy),sum,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_EXACT_WITH_INTEGRATION_MODE,report_auxiliary_energy_sum,Exact Sergio total requires declared per-sample integration semantics.
tyre_rr_energy_kwh,CL4,Tyre RR Energy Consumption [kWh],AX17423,77.67730124737605,last cumulative tyre RR energy,last,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_EXACT_WITH_INTEGRATION_MODE,Phase 13B/13C KPI layer,Use corrected deterministic cumulative state; document legacy formula quirks.
total_tyres_aux_energy_kwh,CM4,Total Energy Consumption (Tyres + Aux) [kWh],CL4+CK4,187.0299094140241,tyre_rr_energy + auxiliary_energy,derived,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Reference display KPI.
battery_capacity_used_kwh,CN4,Battery Capacity Used (EDU+I+A) [kWh] ,Q17423,71.0617,initial battery energy - final battery energy,net_depletion,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_DEFINED,Phase 13B/13C KPI layer,"This is net depletion, not discharge throughput."
battery_energy_consumption_wh_per_km,CO4,Battery Energy Consumption (EDU+I+A) [Wh/Km] ,1000*CN4/BU4,623.3422309082982,1000 * net_battery_depletion_kwh / distance_km,derived,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_DEFINED,Phase 13B/13C KPI layer,Uses CN net depletion definition.
range_85pct_battery_plus_re_km,CP4,Range for 85% Battery + Range Extender (EDU+I+A) [Km],1000*CR4/CO4,136.3616899117246,1000 * 85pct_capacity_kwh / Wh_per_km,derived,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_DEFINED,Phase 13B/13C KPI layer,Reference estimate; name mentions range extender although formula is capacity/consumption only.
mission_nominal_battery_capacity_kwh,CQ4,100% Battery Capacity  [kWh],Q5/0.95,100,initial battery energy / initial SOC fraction,scenario_parameter,exact cell/formula target when status allows; Excel is numeric authority,REFERENCE_SCENARIO_CONSTANT,Phase 13B/13C KPI layer,100.0 kWh mission scaling; separate from 100.77 kWh physical pack metadata.
battery_capacity_85pct_kwh,CR4,0.85,CQ4*CR3,85,0.85 * mission nominal capacity,derived,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_DEFINED,Phase 13B/13C KPI layer,85.0 kWh for Sergio mission.
battery_capacity_auxiliary_label,CS4, Battery Capacity  [kWh],,,no active numeric definition,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,Reference header exists but no value.
max_battery_discharge_power_magnitude_kw,CT4,Max Battery Power (EDU+I+A) [kW],-1*M17424,149.18,negative_min_battery_power,derived_extreme,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_DEFINED,new transformed KPI required in 13C,"Sergio's 'Max Battery Power' means discharge magnitude, not arithmetic max."
battery_initial_soc_pct,CU4,Battery Initial SOC (EDU+I+A) [%],R5,95,first battery SOC,first,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,95% mission initialization.
battery_final_soc_pct,CV4,Battery Final SOC (EDU+I+A) [%],R17423,23.9383,last battery SOC,last,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_battery_soc_last,23.9383% reference final state.
