excel_col,channel,unit,category,reference_behavior,reset_or_continuity,known_reference_quirk,proposed_deterministic_logic,numerical_authority,compatibility_mode,13A1_resolution
A,Time,s,timeline,Explicit values 0..17417 at 1 Hz,Continuous global sample clock; never resets.,"Reference KPI time uses final timestamp 17417 s, not sample count 17418 s.",Generate from global 1 Hz index.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,"Separate sample_count, timestamp_span and event duration; full mission timestamps are 0..17417."
B,Time,min,derived timeline,=A/60 on all data rows,Continuous.,None material.,B=A/60.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,"Separate sample_count, timestamp_span and event duration; full mission timestamps are 0..17417."
E,Speed,kph,raw/profile,Source replay in source-derived field portions; separate road/reference values elsewhere; 0 during loading.,No cumulative behavior.,Road max 62.6233 kph has no supplied source equivalent.,Profile value by phase.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
F,Distance,m,mission cumulative profile,Hardcoded/profile values; source F plus phase offsets in replay sections; held during loading.,Does not reset; offset at each field restart.,Boundary jumps include +1.0 m and -0.6 m around first/second loading boundaries.,Composer should enforce monotonic mission distance and document intentional reference mismatches.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
G,Distance,km,derived distance,=F/1000,Continuous with F.,None.,G=F/1000.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
L,Total EDU Elect Power,kW,derived power,=J+K,Per-sample.,None.,L=J+K.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
M,Battery Power,kW,profile/control,Source/reference profile during driving; fixed +60 kW during all five loading/charging blocks.,No accumulation in M itself.,"Sign convention: negative discharges, positive charges.",Use phase profile; loading M=+60 kW.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,Keep signed power. Define max charge=max(M) and Sergio max battery power=-min(M) as separate KPIs.
N,Battery Power RMS,kW^2,RMS intermediate,=M^2 on each data row,Summary RMS in N2.,N2 uses denominator 17417 although 17418 samples exist; reference RMS 55.132631 kW vs mathematically consistent 55.131048 kW with /17418.,Deterministic engine should use explicit configured sample convention and flag reference off-by-one.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,Canonical RMS=sqrt(mean(M^2)); legacy Excel compatibility may use divisor 17417.
O,Battery Heatflow,kW,profile,Profile/reference value.,No accumulation.,None.,Profile value by phase.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
P,Battery Heatflow RMS,kW^2,RMS intermediate,=O^2,Summary RMS in P2.,Same 17417 denominator off-by-one; reference 4.554083 kW vs 4.553952 kW with /17418.,Use deterministic RMS convention; document reference difference.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,Canonical RMS=sqrt(mean(O^2)); restored as second top RMS KPI in v1.2.1.
Q,Battery Energy,kWh,state,Driving values are copied/offset/reference-scenario states; loading rows use =previous+15/900.,Manual scenario resets at phase starts; numerically equal to R because pack capacity is 100 kWh.,Column header says energy while values equal SOC numerically.,Model battery state in kWh; 100 kWh pack makes kWh value equal SOC %. Loading adds 15 kWh.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,Mission nominal capacity is 100.0 kWh for reference compatibility; physical pack metadata 100.77 kWh is separate.
R,Battery SOC,%,state,Same numeric trajectory as Q; +15/900 percentage points per loading row.,"Starts 95%; field starts are explicitly reset to 77, 59, 41, 58, 57.4%; road starts at 42%.","Small discontinuities at phase boundaries are manual scenario resets/rounding, not continuous integration.",SOC = 100*Q/100kWh; explicit phase initial SOC allowed where reference requires it.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,Default drive threshold 40/80%; P12 final-cycle override 5/80%; explicit phase resets remain scenario inputs.
S,Energy Recuperated,kWh,cumulative drive energy,Reference values are cumulative and held constant during loading.,Offsets at source replays so global total continues.,No increase during road profile in this workbook.,Accumulate positive recuperated energy across mission; hold when no recuperation.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
T,Energy Released,kWh,cumulative drive energy,Reference values are cumulative and held constant during loading.,Offsets at repeated field starts; road and field segments add released energy.,Values are hardcoded/profile states rather than formulas.,Accumulate released EDU energy across mission.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
X,EDU Mech Power RL,kW,derived power,=V*W/9548.8,Per-sample.,None.,Deterministic formula.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AB,EDU Mech Power RR,kW,derived power,=Z*AA/9548.8,Per-sample.,None.,Deterministic formula.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AC,Total EDU Mech Power,kW,derived power,=X+AB,Per-sample.,None.,Deterministic formula.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AD,Engine Fuel Consumption,kg,cumulative fuel,"0/held when generator off; increases during generator-on driving and loading. Some loading cells use cumulative formulas, others are hardcoded cached values.",Never resets globally.,Loading mass rate is ~0.00406 kg/s (=17.4 l/h *0.84 kg/l /3600). Formula style is inconsistent between blocks.,"Compute deterministically from fuel-flow or mass-rate integration, not by reproducing copy/paste formulas.",sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,Fuel mass integration is canonical; legacy 960 kWh fuel-energy KPI is not derived from this channel and remains compatibility-only.
AF,Fuel Flow,l/h,profile/control,0 when engine/generator off; ~17.4 l/h during opportunity charging; profile values during generator-on driving/road.,Per-sample.,Some first loading samples are 0 due boundary-cell copy artifact.,Use generator/engine state to set fuel flow.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AI,Engine Power Required,kW,derived power,=AG*AH/9548.8 on nearly all rows,Per-sample.,A few reference cells are hardcoded/blank-formula anomalies.,Deterministic formula from engine speed and torque.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AJ,Engine Energy Delivered [kWh],kWh/sample,per-sample energy,=AI*dt/3600 (usually dt=1 s),Not cumulative in data rows; summary row 17423 uses SUM(AJ5:AJ17422).,Some formulas use strange nonadjacent A references at loading boundaries but cached value is often 0/expected.,Integrate AI over actual dt; cumulative engine energy is SUM(AJ).,sergio_excel for full mission; raw VSM for source-aligned raw profile,reference_per_sample_rectangle,For exact Sergio total use declared per-sample 1 s rectangle compatibility mode; never infer duration from sample count silently.
AK,Agrochemical load force,N,tank state proxy,Driving/reference force; first loading block increments by a fixed -43.58511 N per sample; later blocks mostly hardcoded values.,Resets to near -39226.8 N for full ~4000 kg tank.,Header in reference says Agrochemical Discharge although unit is N.,Represent tank mass directly in composer and derive force if needed.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AL,Agrochemical Discharge / tank load,kg,tank state,= -AK/9.81 on all rows,"~4000 kg at field starts, tends to ~0 at field end; rises during loading at 4.4429266 kg/s; road is 0.",Field 5 contains visibly misaligned AL formulas referencing AK two rows ahead near phase start/end.,Use tank mass as deterministic state; do not copy misaligned AL formulas.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AU,Total Rolling Resistance Power,kW,derived,=AQ+AR+AS+AT,Per-sample.,None.,Deterministic formula.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AV,Tyre Rolling Resistance Energy,kWh/sample,per-sample energy,=AU/3600 at 1 Hz,Per-sample; 0 during stationary loading.,None material.,AV=AU*dt/3600.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
AW,Tyre Rolling Resistance Energy,Wh/sample,derived energy,=AV*1000,Per-sample.,None.,AW=1000*AV.,sergio_excel for full mission; raw VSM for source-aligned raw profile,direct/reference state,unchanged
