slide_number,title,picture_count,line_or_arrow_count,native_chart_count,native_table_count,excel_relationship
1,Hybrid SP Caiman Sprayer – Feasibility Study,1,0,0,0,general engineering reference
2,Caiman SP Hybrid – System Schematic,1,0,0,0,general engineering reference
3,Caiman SP Diesel – Gradient and Speed – High,3,0,0,0,general engineering reference
4,Caiman SP Hybrid - Gradient and Speed,3,0,0,0,general engineering reference
5,Caiman SP Hybrid Vs Diesel - Gradient and Speed,1,0,0,0,general engineering reference
6,Range Extender Control Logic,1,0,0,0,general engineering reference
7,Hybrid SP Caiman – Duty Cycle,2,0,0,0,static screenshot of Excel KPI summary block
8,Caiman SP Hybrid – Duty Cycle,3,5,0,0,static cropped Excel KPI strip plus two plot images; annotations are native PowerPoint lines/text
9,Caiman SP Hybrid – Duty Cycle,3,5,0,0,static cropped Excel KPI strip plus two plot images; annotations are native PowerPoint lines/text
10,Caiman SP Hybrid – Duty Cycle,3,10,0,0,static cropped Excel KPI strip plus two plot images; annotations are native PowerPoint lines/text
11,Caiman SP Hybrid – Duty Cycle,3,10,0,0,static cropped Excel KPI strip plus two plot images; annotations are native PowerPoint lines/text
12,Caiman SP Hybrid – Duty Cycle,3,10,0,0,static cropped Excel KPI strip plus two plot images; annotations are native PowerPoint lines/text
13,Caiman Diesel – Duty Cycle,1,0,0,0,diesel comparison/reference using static screenshots
14,Caiman Diesel – Duty Cycle,3,10,0,0,diesel comparison/reference using static screenshots
15,Caiman Diesel – Duty Cycle,3,5,0,0,diesel comparison/reference using static screenshots
16,Bateries – CALB LFP 163 Ah – 1C+1G & 1C+2G,1,0,0,0,general engineering reference
17,Caiman Hybrid – Motors Required,3,0,0,0,general engineering reference
18,Caiman Hybrid – Duty Cycle Torque @ Wheels,1,0,0,0,general engineering reference
19,ETM 25 Motors,3,0,0,0,general engineering reference
20,Motor Cummins 6BTA5.9-C174,5,2,0,0,general engineering reference
21,Energy Consumption of Auxiliaries,2,0,0,0,general engineering reference
