conflict_id,topic,sergio_excel_evidence,sergio_ppt_evidence,raw_source_evidence,current_tool_behavior,resolution,status
RC-001,Reference authority hierarchy,"Full mission workbook contains 17,418 data rows and explicit formulas/cached values.",Presentation contains rounded/manual scenario tables that disagree with workbook at several intermediate points.,"Supplied 1,866-row VSM workbook is authoritative only for the source field-cycle profile it contains.",Current tool processes the supplied source deterministically and does not claim numerical equivalence to the full mission.,Use Sergio Excel as primary full-mission numerical target; use raw VSM as primary source-profile target; use PPT for scenario intent/presentation only.,RESOLVED_SPEC
RC-002,Source cycle labelled as full duty cycle,"Full mission is 17,418 samples / 114.0011 km.",Duty-cycle slides describe six 74 ha cycles plus route and loading stops.,"Source workbook is 1,866 samples / 12 km / ~31.08 min.","Generated PPT slide was titled 'Caiman SP Hybrid – Duty Cycle' for the 1,866-row source only.",Rename source-only slide/report wording to 'Source 74 ha Field Cycle' until composer output is active.,FIXED_1_2_1
RC-003,Top RMS KPI selection,N2 = Battery Power RMS; P2 = Battery Heatflow RMS.,Battery duty-cycle KPI slide includes Battery Heat Generation RMS.,Source supports both battery power and battery heatflow channels.,Top RMS pair was Battery Power RMS + Auxiliary Power RMS.,Use Battery Power RMS + Battery Heatflow RMS; auxiliary RMS remains available only if explicitly selected.,FIXED_1_2_1
RC-004,Meaning/sign of 'Max Battery Power',"CT4 = -M17424 = 149.18 kW, where M17424 = MIN(M5:M17422) = -149.18 kW. M17423 MAX is +99.9503 kW.",Battery KPI slide reports Max Battery Power = 149 kW.,"Source M min=-149.18 kW, max=+23.5799 kW.",Current statistic report_battery_power_max means arithmetic MAX and is labelled Max Battery Charging Power.,Keep distinct KPIs: max_charge_power=max(M); max_discharge_power_magnitude=-min(M). Sergio's 'Max Battery Power' maps to discharge magnitude.,RESOLVED_SPEC_PENDING_13C
RC-005,Range-extender SOC thresholds and final-cycle override,Generator turns on near 40% in field phases 3/4/5; field 6 reaches 23.9383% with generator off.,Control slide gives 40% start / 80% stop; duty-cycle table explicitly states 'Last Cycle 5% Min 80% Max'.,Source filename contains '57-4pcSOC_5-80' and the source cycle runs 57.4% -> 23.9383% with generator power zero.,13A spec had a global 40% trigger but no explicit final-cycle override.,"Default drive controller: start below 40%, stop at/above 80%; P12 override: start below 5%, stop at/above 80%.",RESOLVED_SPEC
RC-006,Battery capacity: 100.0 vs 100.77 kWh,CQ4 = Q5/0.95 = 100 kWh and Q/R are numerically equal in the mission.,Duty-cycle table uses 100 kWh; dedicated battery slide gives 100.77 kWh for the 1C+2G pack.,Source SOC/energy behavior is compatible with Sergio's 100 kWh scenario scaling.,13A spec used a single battery_capacity_kwh=100.,Separate mission_nominal_capacity_kwh=100.0 (reference compatibility) from physical_pack_energy_kwh=100.77 (hardware metadata).,RESOLVED_SPEC
RC-007,Battery chemistry metadata,Mission workbook does not establish chemistry as a calculation input.,"Duty-cycle table says NMC 1C+2G, while cover/dedicated battery slide identify CALB LFP 163 Ah packs.",Filename identifies 1C2G but does not resolve chemistry.,No chemistry-dependent deterministic calculation is performed.,Do not hard-code chemistry in composer. Keep chemistry metadata unresolved/configurable until Sergio confirms.,OPEN_METADATA
RC-008,Road distance/speed labels vs numerical profile,Road phase spans 42.0087 km; mission max speed is 62.6233 kph.,Titles say 60 kph road and 40 km route; some table labels still say 'Link Route @40kph'.,Source field-cycle max speed is 30.0717 kph and contains no road segment.,No road composer exists yet.,For exact fidelity use Excel profile/42.0087 km numerics. Treat 60 kph and 40 km as nominal presentation targets; '@40kph' is stale text.,RESOLVED_SPEC_PROFILE_STILL_MISSING
RC-009,Intermediate SOC values in PPT vs Excel,"Example: field 3 starts 59.0%, ends 43.0362%; road starts 42.0%, ends 26.2109%.",Table shows field 3 58.76% -> 45.53% and road 45.53% -> 26.23%.,Raw source alone cannot define these full-mission states.,13A mapping follows Excel rows.,Do not target PPT intermediate SOC numbers. Excel is authoritative for numerical reconstruction.,RESOLVED_SPEC
RC-010,"Sample count, elapsed time and integration duration","17,418 rows; timestamps 0..17,417 s; BT4=4.83805556 h from final timestamp. Per-row energy formulas contribute on all 17,418 rows.","Phase table totals 17,416 s / 290.27 min / 04:50:16.","1,866 rows; timestamps 0..1,865 s; current source report follows last timestamp for displayed time.",Deterministic calculations have explicit sample behavior; 13A did not formally separate these concepts.,"Track sample_count, first/last timestamp, timestamp_span and integration semantics separately. Exact Sergio compatibility may use per-sample rectangle integration while elapsed-time KPIs use last-first.",RESOLVED_SPEC
RC-011,Fuel energy and engine efficiency,CE4 = CB4*12 = 80*12 = 960 kWh; CF4 = CA4/CE4 = 22.8439%.,Engine slide provides BSFC curve and 182.7 g/kWh at 1700 rpm for generator operation; duty slide reports 960 kWh / 22.8%.,Source final cycle has zero fuel use/generator power.,Core does not infer the unexplained 80*12 fuel-energy formula.,Keep CE4/CF4 as reference-compatibility KPIs only. Do not encode 80*12 as physical fuel energy until its 12-unit assumption is confirmed.,OPEN_PHYSICS_REFERENCE_COMPATIBLE
RC-012,1C+2G naming but Generator 2 unused,"BP/BQ are zero throughout the 17,418-row reference.",Architecture/version naming repeatedly says 1C+2G.,Generator 2 channels exist but are zero in supplied source.,Generator 2 is configurable and currently zero for this source.,Keep generator-2 channel configurable; do not force nonzero behavior merely from scenario name.,RESOLVED_SPEC
RC-013,Battery Heatflow RMS PPT rounding/version difference,"P2 = 4.5540830856 kW using legacy denominator 17,417.",Battery KPI slide reports 4.9 kW.,Source-cycle sample RMS is 6.4230535881 kW.,Previously did not expose heatflow RMS in the source report.,"Use Excel value for full-mission numerical equivalence; presentation rounding must be generated from current Excel/composer result, not copied from stale PPT.",RESOLVED_SPEC
RC-014,"Battery capacity used KPI is net depletion, not throughput",Q17423 = Q5-Q17422 = 71.0617 kWh and CN4 points to Q17423.,KPI label says Battery Capacity Used (EDU+I+A) = 71.1 kWh.,Source does not represent the complete charged mission.,No full-mission capacity-used KPI yet.,"Define as net battery energy depletion (initial battery energy - final battery energy), not cumulative discharge throughput.",RESOLVED_SPEC_PENDING_13C
RC-015,Client-visible source filename/path leakage,Reference client workbook does not expose local developer workspace paths.,Reference presentation uses scenario names rather than temporary upload hashes.,Original filename is known.,UI stores uploads with SHA prefix; generated PPT displayed that prefixed name and Excel Metadata exposed absolute local paths.,Keep hashed internal workspace paths for traceability but strip the UI hash in client-visible filename and show config basenames in visible Excel metadata.,FIXED_1_2_1
RC-016,PPT phase durations vs Excel row/timestamp structure,"Phase sample counts sum exactly to 17,418; within-phase timestamp spans are generally sample_count-1.","Phase duration table totals 17,416 s and individual values are not consistently row_count or timestamp_span (e.g. field 2 shows 1798 s for 1797 rows).","Source final field cycle has 1,866 rows and timestamp span 1,865 s.",13A recorded both sample counts and timestamp spans but did not establish precedence.,Composer phase lengths are defined by configured/profile output sample counts; PPT duration cells are descriptive only and never used to generate rows.,RESOLVED_SPEC
RC-017,Reference workbook boundary/copy artifacts,Some loading starts force BR=0 while BO is ~80 kW; some AL/AX formulas are misaligned; small distance/SOC discontinuities occur.,Presentation abstracts these transitions and does not expose cell artifacts.,No such synthetic loading boundaries exist in source cycle.,Core already favors deterministic coherent formulas over suspicious copied formulas.,Do not encode obvious spreadsheet artifacts as physics. Maintain a reference-compatibility difference log.,RESOLVED_POLICY
